date,ticker,name,price_per_ounce,market_cap
2016-10-01,SI=F,Silver,17.761999130249023,31083498477.93579
2016-11-01,SI=F,Silver,16.4060001373291,28710500240.325928
2016-12-01,SI=F,Silver,15.935999870300291,27887999773.02551
2017-02-01,SI=F,Silver,18.420000076293945,32235000133.514404
2017-03-01,SI=F,Silver,18.23500061035156,31911251068.115227
2017-04-01,SI=F,Silver,17.19099998474121,30084249973.29712
2017-05-01,SI=F,Silver,17.368000030517578,30394000053.40576
2017-06-01,SI=F,Silver,16.56800079345703,28994001388.549805
2017-07-01,SI=F,Silver,16.75,29312500000.0
2017-08-01,SI=F,Silver,17.479999542236328,30589999198.913574
2017-09-01,SI=F,Silver,16.60700035095215,29062250614.16626
2017-11-01,SI=F,Silver,16.381999969482422,28668499946.59424
2017-12-01,SI=F,Silver,17.059999465942383,29854999065.39917
2018-01-01,SI=F,Silver,17.20400047302246,30107000827.789307
2018-02-01,SI=F,Silver,16.323999404907227,28566998958.587646
2018-03-01,SI=F,Silver,16.222999572753906,28390249252.319336
2018-05-01,SI=F,Silver,16.402000427246094,28703500747.680664
2018-06-01,SI=F,Silver,16.104000091552734,28182000160.217285
2018-08-01,SI=F,Silver,14.437999725341797,25266499519.348145
2018-09-01,SI=F,Silver,14.623000144958496,25590250253.67737
2018-10-01,SI=F,Silver,14.229000091552734,24900750160.217285
2018-11-01,SI=F,Silver,14.093999862670898,24664499759.674072
2018-12-01,SI=F,Silver,15.43299961090088,27007749319.07654
2019-01-01,SI=F,Silver,16.02199935913086,28038498878.479004
2019-02-01,SI=F,Silver,15.538000106811523,27191500186.920166
2019-03-01,SI=F,Silver,15.0600004196167,26355000734.329224
2019-04-01,SI=F,Silver,14.899999618530272,26074999332.427975
2019-05-01,SI=F,Silver,14.529999732971191,25427499532.699585
2019-06-01,SI=F,Silver,15.253000259399414,26692750453.948975
2019-07-01,SI=F,Silver,16.34600067138672,28605501174.926758
2019-08-01,SI=F,Silver,18.184999465942383,31823749065.39917
2019-10-01,SI=F,Silver,18.013999938964844,31524499893.188477
2019-11-01,SI=F,Silver,16.9689998626709,29695749759.674072
2020-01-01,SI=F,Silver,17.972000122070312,31451000213.623047
2020-02-01,SI=F,Silver,16.386999130249023,28677248477.93579
2020-04-01,SI=F,Silver,14.89799976348877,26071499586.105347
2020-05-01,SI=F,Silver,18.440000534057617,32270000934.60083
2020-06-01,SI=F,Silver,18.541000366210938,32446750640.86914
2020-07-01,SI=F,Silver,24.18899917602539,42330748558.04443
2020-08-01,SI=F,Silver,28.437000274658203,49764750480.651855
2020-09-01,SI=F,Silver,23.433000564575195,41007750988.00659
2020-10-01,SI=F,Silver,23.617000579833984,41329751014.70947
2020-12-01,SI=F,Silver,26.332000732421875,46081001281.73828
2021-01-01,SI=F,Silver,26.899999618530277,47074999332.427986
2021-02-01,SI=F,Silver,26.402000427246094,46203500747.680664
2021-03-01,SI=F,Silver,24.517000198364254,42904750347.13744
2021-04-01,SI=F,Silver,25.85300064086914,45242751121.520996
2021-05-01,SI=F,Silver,27.993000030517575,48987750053.405754
2021-06-01,SI=F,Silver,26.165000915527344,45788751602.17285
2021-07-01,SI=F,Silver,25.527999877929688,44673999786.37695
2021-09-01,SI=F,Silver,22.020999908447266,38536749839.782715
2021-10-01,SI=F,Silver,23.94499969482422,41903749465.94238
2021-11-01,SI=F,Silver,22.76499938964844,39838748931.88477
2021-12-01,SI=F,Silver,23.327999114990234,40823998451.23291
2022-01-01,SI=F,Silver,22.395000457763672,39191250801.086426
2022-02-01,SI=F,Silver,24.36100006103516,42631750106.81153
2022-03-01,SI=F,Silver,25.121000289916992,43961750507.35474
2022-04-01,SI=F,Silver,23.040000915527344,40320001602.17285
2022-06-01,SI=F,Silver,20.28199958801269,35493499279.02221
2022-07-01,SI=F,Silver,20.1560001373291,35273000240.32593
2022-08-01,SI=F,Silver,17.761999130249023,31083498477.93579
2022-09-01,SI=F,Silver,18.959999084472656,33179998397.82715
2022-10-01,SI=F,Silver,19.125,33468750000.0
2022-11-01,SI=F,Silver,21.549999237060547,37712498664.85596
2022-12-01,SI=F,Silver,23.86199951171875,41758499145.50781
2023-02-01,SI=F,Silver,20.961000442504883,36681750774.383545
2023-03-01,SI=F,Silver,24.076000213623047,42133000373.84033
2023-04-01,SI=F,Silver,24.999000549316406,43748250961.30371
2023-05-01,SI=F,Silver,23.474000930786133,41079501628.87573
2023-06-01,SI=F,Silver,22.809999465942383,39917499065.39917
2023-07-01,SI=F,Silver,24.85400009155273,43494500160.21728
2023-08-01,SI=F,Silver,24.472000122070312,42826000213.62305
2023-09-01,SI=F,Silver,22.23600006103516,38913000106.81153
2023-11-01,SI=F,Silver,25.292999267578125,44262748718.26172
2023-12-01,SI=F,Silver,23.85300064086914,41742751121.520996
2024-01-01,SI=F,Silver,23.051000595092773,40339251041.41235
2024-02-01,SI=F,Silver,22.666000366210938,39665500640.86914
2024-03-01,SI=F,Silver,24.79700088500977,43394751548.7671
2024-04-01,SI=F,Silver,26.391000747680664,46184251308.44116
2024-05-01,SI=F,Silver,30.29700088500977,53019751548.7671
2024-06-01,SI=F,Silver,29.23699951171875,51164749145.50781
2024-07-01,SI=F,Silver,28.777999877929688,50361499786.37695
2024-08-01,SI=F,Silver,28.731000900268555,50279251575.46997
2024-10-01,SI=F,Silver,32.65299987792969,57142749786.37695
2024-11-01,SI=F,Silver,30.684999465942383,53698749065.39917
2025-01-01,SI=F,Silver,32.12799835205078,56223997116.08887
2025-02-01,SI=F,Silver,31.2189998626709,54633249759.67407
2025-03-01,SI=F,Silver,34.457000732421875,60299751281.73828
2025-04-01,SI=F,Silver,32.53099822998047,56929246902.46582
2025-05-01,SI=F,Silver,32.891998291015625,57560997009.27734
2025-07-01,SI=F,Silver,36.55199813842773,63965996742.24852
2025-08-01,SI=F,Silver,40.20000076293945,70350001335.14404
2025-09-01,SI=F,Silver,46.25299835205078,80942747116.08887
2025-10-01,SI=F,Silver,47.99399948120117,83989499092.10205
2025-11-01,SI=F,Silver,56.44599914550781,98780498504.63867
2025-12-01,SI=F,Silver,70.13400268554688,122734504699.70703
2026-01-01,SI=F,Silver,78.29000091552734,137007501602.17285
2016-01-01,PL=F,Platinum,872.2999877929688,174459997558.59375
2016-02-01,PL=F,Platinum,933.7000122070312,186740002441.40625
2016-03-01,PL=F,Platinum,976.5999755859376,195319995117.18753
2016-04-01,PL=F,Platinum,1077.9000244140625,215580004882.8125
2016-06-01,PL=F,Platinum,1021.5,204300000000.0
2016-07-01,PL=F,Platinum,1147.300048828125,229460009765.625
2016-08-01,PL=F,Platinum,1050.800048828125,210160009765.625
2016-09-01,PL=F,Platinum,1028.5999755859375,205719995117.1875
2016-10-01,PL=F,Platinum,975.7999877929688,195159997558.59375
2016-11-01,PL=F,Platinum,908.0999755859376,181619995117.18753
2016-12-01,PL=F,Platinum,901.5999755859376,180319995117.18753
2017-02-01,PL=F,Platinum,1029.5,205900000000.0
2017-03-01,PL=F,Platinum,948.2000122070312,189640002441.40625
2017-04-01,PL=F,Platinum,946.2999877929688,189259997558.59375
2017-05-01,PL=F,Platinum,948.5,189700000000.0
2017-06-01,PL=F,Platinum,923.7000122070312,184740002441.40625
2017-07-01,PL=F,Platinum,937.7000122070312,187540002441.40625
2017-08-01,PL=F,Platinum,996.7999877929688,199359997558.59375
2017-09-01,PL=F,Platinum,910.2999877929688,182059997558.59375
2017-11-01,PL=F,Platinum,941.2999877929688,188259997558.59375
2017-12-01,PL=F,Platinum,934.2000122070312,186840002441.40625
2018-01-01,PL=F,Platinum,1001.2999877929688,200259997558.59375
2018-02-01,PL=F,Platinum,986.5999755859376,197319995117.18753
2018-03-01,PL=F,Platinum,927.2999877929688,185459997558.59375
2018-05-01,PL=F,Platinum,908.0999755859376,181619995117.18753
2018-06-01,PL=F,Platinum,852.4000244140625,170480004882.8125
2018-08-01,PL=F,Platinum,785.9000244140625,157180004882.8125
2018-09-01,PL=F,Platinum,818.7000122070312,163740002441.40625
2018-10-01,PL=F,Platinum,839.4000244140625,167880004882.8125
2018-11-01,PL=F,Platinum,798.0,159600000000.0
2018-12-01,PL=F,Platinum,795.9000244140625,159180004882.8125
2019-01-01,PL=F,Platinum,820.5,164100000000.0
2019-02-01,PL=F,Platinum,873.0,174600000000.0
2019-03-01,PL=F,Platinum,848.9000244140625,169780004882.8125
2019-04-01,PL=F,Platinum,888.0999755859375,177619995117.1875
2019-05-01,PL=F,Platinum,792.5999755859375,158519995117.1875
2019-06-01,PL=F,Platinum,835.5,167100000000.0
2019-07-01,PL=F,Platinum,876.0999755859375,175219995117.1875
2019-08-01,PL=F,Platinum,929.5999755859376,185919995117.18753
2019-10-01,PL=F,Platinum,930.0,186000000000.0
2019-11-01,PL=F,Platinum,897.9000244140625,179580004882.8125
2020-01-01,PL=F,Platinum,959.2000122070312,191840002441.40625
2020-02-01,PL=F,Platinum,862.7999877929688,172559997558.59375
2020-04-01,PL=F,Platinum,809.5,161900000000.0
2020-05-01,PL=F,Platinum,870.5,174100000000.0
2020-06-01,PL=F,Platinum,840.7000122070312,168140002441.40625
2020-07-01,PL=F,Platinum,912.2000122070312,182440002441.40625
2020-08-01,PL=F,Platinum,935.7000122070312,187140002441.40625
2020-09-01,PL=F,Platinum,901.0,180200000000.0
2020-10-01,PL=F,Platinum,844.5999755859375,168919995117.1875
2020-12-01,PL=F,Platinum,1075.4000244140625,215080004882.8125
2021-01-01,PL=F,Platinum,1075.800048828125,215160009765.625
2021-02-01,PL=F,Platinum,1183.5,236700000000.0
2021-03-01,PL=F,Platinum,1188.5,237700000000.0
2021-04-01,PL=F,Platinum,1203.0,240600000000.0
2021-05-01,PL=F,Platinum,1180.800048828125,236160009765.625
2021-06-01,PL=F,Platinum,1070.5,214100000000.0
2021-07-01,PL=F,Platinum,1046.9000244140625,209380004882.8125
2021-09-01,PL=F,Platinum,960.9000244140624,192180004882.81247
2021-10-01,PL=F,Platinum,1019.5999755859376,203919995117.18753
2021-11-01,PL=F,Platinum,926.5999755859376,185319995117.18753
2021-12-01,PL=F,Platinum,964.4000244140624,192880004882.81247
2022-01-01,PL=F,Platinum,1019.2000122070312,203840002441.40625
2022-02-01,PL=F,Platinum,1037.800048828125,207560009765.625
2022-03-01,PL=F,Platinum,992.5,198500000000.0
2022-04-01,PL=F,Platinum,937.5999755859376,187519995117.18753
2022-06-01,PL=F,Platinum,898.4000244140625,179680004882.8125
2022-07-01,PL=F,Platinum,884.9000244140625,176980004882.8125
2022-08-01,PL=F,Platinum,826.4000244140625,165280004882.8125
2022-09-01,PL=F,Platinum,870.0,174000000000.0
2022-10-01,PL=F,Platinum,939.4000244140624,187880004882.81247
2022-11-01,PL=F,Platinum,1052.300048828125,210460009765.625
2022-12-01,PL=F,Platinum,1073.699951171875,214739990234.375
2023-02-01,PL=F,Platinum,955.2000122070312,191040002441.40625
2023-03-01,PL=F,Platinum,994.0999755859376,198819995117.18753
2023-04-01,PL=F,Platinum,1088.199951171875,217639990234.375
2023-05-01,PL=F,Platinum,1007.0999755859376,201419995117.18753
2023-06-01,PL=F,Platinum,904.5,180900000000.0
2023-07-01,PL=F,Platinum,949.7000122070312,189940002441.40625
2023-08-01,PL=F,Platinum,971.2999877929688,194259997558.59375
2023-09-01,PL=F,Platinum,906.7999877929688,181359997558.59375
2023-11-01,PL=F,Platinum,931.2000122070312,186240002441.40625
2023-12-01,PL=F,Platinum,995.0,199000000000.0
2024-01-01,PL=F,Platinum,924.4000244140624,184880004882.81247
2024-02-01,PL=F,Platinum,879.9000244140625,175980004882.8125
2024-03-01,PL=F,Platinum,907.7000122070312,181540002441.40625
2024-04-01,PL=F,Platinum,941.2000122070312,188240002441.40625
2024-05-01,PL=F,Platinum,1037.699951171875,207539990234.375
2024-06-01,PL=F,Platinum,1001.9000244140624,200380004882.81247
2024-07-01,PL=F,Platinum,982.2000122070312,196440002441.40625
2024-08-01,PL=F,Platinum,927.7999877929688,185559997558.59375
2024-10-01,PL=F,Platinum,991.5999755859376,198319995117.18753
2024-11-01,PL=F,Platinum,949.5,189900000000.0
2025-01-01,PL=F,Platinum,1033.199951171875,206639990234.375
2025-02-01,PL=F,Platinum,932.2999877929688,186459997558.59375
2025-03-01,PL=F,Platinum,1009.7000122070312,201940002441.40625
2025-04-01,PL=F,Platinum,963.7999877929688,192759997558.59375
2025-05-01,PL=F,Platinum,1051.699951171875,210339990234.375
2025-07-01,PL=F,Platinum,1286.4000244140625,257280004882.8125
2025-08-01,PL=F,Platinum,1365.699951171875,273139990234.375
2025-09-01,PL=F,Platinum,1584.5999755859375,316919995117.1875
2025-10-01,PL=F,Platinum,1569.800048828125,313960009765.625
2025-11-01,PL=F,Platinum,1677.699951171875,335539990234.375
2025-12-01,PL=F,Platinum,2034.5,406900000000.0
2026-01-01,PL=F,Platinum,2102.800048828125,420560009765.625
2016-01-01,PA=F,Palladium,497.5,74625000000.0
2016-02-01,PA=F,Palladium,495.6000061035156,74340000915.52734
2016-03-01,PA=F,Palladium,563.0499877929688,84457498168.94531
2016-04-01,PA=F,Palladium,627.9000244140625,94185003662.10938
2016-06-01,PA=F,Palladium,598.1500244140625,89722503662.10938
2016-07-01,PA=F,Palladium,708.4500122070312,106267501831.05469
2016-08-01,PA=F,Palladium,668.7000122070312,100305001831.05469
2016-09-01,PA=F,Palladium,720.5,108075000000.0
2016-10-01,PA=F,Palladium,617.4500122070312,92617501831.05469
2016-11-01,PA=F,Palladium,771.6500244140625,115747503662.10938
