date,ticker,price_local_currency,currency,conversion_rate,price_usd,shares,market_cap_usd
2024-10-01,005930.KS,57557.60546875,KRW,1350.0,42.63526331018519,5876745450,250556589667.68274
2024-11-01,005930.KS,52696.328125,KRW,1350.0,39.03431712962963,5876745450,229394745585.408
2024-12-01,005930.KS,51724.06640625,KRW,1350.0,38.31412326388889,5876745450,225162349561.79816
2025-01-01,005930.KS,51293.640625,KRW,1350.0,37.99528935185185,5876745450,223288643819.92883
2025-02-01,005930.KS,53349.3046875,KRW,1350.0,39.51800347222222,5876745450,232237247098.46613
2025-03-01,005930.KS,56579.62890625,KRW,1350.0,41.91083622685185,5876745450,246299316101.84677
2025-04-01,005930.KS,54650.96875,KRW,1350.0,40.482199074074074,5876745450,237903579214.55902
2025-05-01,005930.KS,55340.26171875,KRW,1350.0,40.992786458333335,5876745450,240904171301.83203
2025-06-01,005930.KS,58885.1875,KRW,1350.0,43.618657407407404,5876745450,256335746454.09027
2025-07-01,005930.KS,70738.984375,KRW,1350.0,52.39924768518519,5876745450,307937040417.3351
2025-08-01,005930.KS,69054.7265625,KRW,1350.0,51.15164930555556,5876745450,300605222316.4193
2025-09-01,005930.KS,83123.2578125,KRW,1350.0,61.57278356481481,5876745450,361847575658.3602
2025-10-01,005930.KS,106979.953125,KRW,1350.0,79.24440972222222,5876745450,465699224273.0052
2025-11-01,005930.KS,100013.8203125,KRW,1350.0,74.0843113425926,5876745450,435374639598.9645
2025-12-01,005930.KS,119319.96875,KRW,1350.0,88.38516203703703,5876745450,519417098848.6701
2026-01-01,005930.KS,160500.0,KRW,1350.0,118.88888888888889,5876745450,698679736833.3334
2026-02-01,005930.KS,216500.0,KRW,1350.0,160.37037037037038,5876745450,942455844388.8889
2016-01-01,JPM,45.19518280029297,USD,1.0,45.19518280029297,2697032375,121892871206.43329
2016-02-01,JPM,43.051387786865234,USD,1.0,43.051387786865234,2697032375,116110986649.85513
2016-03-01,JPM,45.28424835205078,USD,1.0,45.28424835205078,2697032375,122133083883.02136
2016-04-01,JPM,48.32767105102539,USD,1.0,48.32767105102539,2697032375,130341293432.96576
2016-05-01,JPM,50.280086517333984,USD,1.0,50.280086517333984,2697032375,135607021155.05075
2016-06-01,JPM,47.868919372558594,USD,1.0,47.868919372558594,2697032375,129104025304.0552
2016-07-01,JPM,49.27864456176758,USD,1.0,49.27864456176758,2697032375,132906099779.20485
2016-08-01,JPM,52.4027099609375,USD,1.0,52.4027099609375,2697032375,141331805302.38342
2016-09-01,JPM,51.69624328613281,USD,1.0,51.69624328613281,2697032375,139426441808.5766
2016-10-01,JPM,53.769073486328125,USD,1.0,53.769073486328125,2697032375,145016931966.38107
2016-11-01,JPM,62.69134521484375,USD,1.0,62.69134521484375,2697032375,169080587676.73492
2016-12-01,JPM,67.47704315185547,USD,1.0,67.47704315185547,2697032375,181987769949.82623
2017-01-01,JPM,66.178955078125,USD,1.0,66.178955078125,2697032375,178486784389.37378
2017-02-01,JPM,71.255126953125,USD,1.0,71.255126953125,2697032375,192177384277.31323
2017-03-01,JPM,69.0692138671875,USD,1.0,69.0692138671875,2697032375,186281905915.60364
2017-04-01,JPM,68.40869903564453,USD,1.0,68.40869903564453,2697032375,184500476030.7646
2017-05-01,JPM,64.9662857055664,USD,1.0,64.9662857055664,2697032375,175216175831.41232
2017-06-01,JPM,72.28138732910156,USD,1.0,72.28138732910156,2697032375,194945241736.5017
2017-07-01,JPM,72.59773254394531,USD,1.0,72.59773254394531,2697032375,195798435022.61163
2017-08-01,JPM,72.27344512939453,USD,1.0,72.27344512939453,2697032375,194923821366.76312
2017-09-01,JPM,75.94712829589844,USD,1.0,75.94712829589844,2697032375,204831863802.31665
2017-10-01,JPM,80.00252532958984,USD,1.0,80.00252532958984,2697032375,215769400895.66135
2017-11-01,JPM,83.59750366210938,USD,1.0,83.59750366210938,2697032375,225465173845.89005
2017-12-01,JPM,85.53306579589844,USD,1.0,85.53306579589844,2697032375,230685447584.5432
2018-01-01,JPM,92.51551055908205,USD,1.0,92.51551055908205,2697032375,249517327167.49863
